"isocode","year","Country","SEX","Sex","AGE","Age","VAR","Variant","TIME","Unit.Code","Unit","PowerCode.Code","PowerCode","Reference.Period.Code","Reference.Period","Value","Flag.Codes","Flags","WN","country","currency","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","i_cig","i_xm","i_xr","i_outlier","i_irr","cor_exp","statcap","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k","LN","LW","y","KY","gy","gKY","gLN","gLW","gWN","gavh","ged","gA","gcap","ghc","gydiff","gcapdiff","gAdiff","gLWdiff","gWNdiff","gavhdiff","geddiff","gydiff_alt_bad","gydiff_alt_good"
"DEU",1950,"Germany","TT","All persons","D1TTR5T2","Age(-20 & +65) Dependency Ratio (20-64)","VAR1","Baseline",1950,"PC","Percentage",0,"Units",NA,NA,67.00291,"","",0.598791961170018,"Germany","Euro",351955.71875,358992.53125,68.734097311722,30.8558082580566,2428.27944826013,2.42699718475342,250898.375,377429.4375,348546.9375,357997.59375,1584358.125,NA,NA,NA,495069.34375,366918.59375,509329.25,1918304.75,NA,NA,NA,0.668120920658112,0.103720031678677,0.033115841448307,2.14486070374006,0.0929427370429039,0.0824022516608238,0.080226942896843,"extrapolated","extrapolated","market","no","regular",NA,NA,0.55882203578949,0.353441089391708,0.14201608300209,0.0837494134902954,-0.0914792940020561,-0.0465493388473988,0.0953806266188622,0.061501532793045,0.0833498239517212,0.055772926658392,0.0829092189669609,0.0414772070944309,NA,0.448915595968617,0.749702108711434,7202.67470022582,3.87482031399768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1951,"Germany","TT","All persons","D1TTR5T2","Age(-20 & +65) Dependency Ratio (20-64)","VAR1","Baseline",1951,"PC","Percentage",0,"Units",NA,NA,67.32394,"","",0.597643110722829,"Germany","Euro",386261.96875,397295.09375,69.0738674780284,31.4365100860596,2402.43704930357,2.46930408477783,269102.25,407787.34375,387112.5,399758.125,1692528.875,NA,NA,NA,543108.125,393665.75,544638.3125,2051991,NA,NA,NA,0.668120920658112,0.104155041277409,0.0334499925374985,2.14486070374006,0.10310472548008,0.0910802036523819,0.0881990492343903,"extrapolated","extrapolated","market","no","regular",NA,NA,0.531362533569336,0.346922516822815,0.141800120472908,0.101772129535675,-0.0848483219742775,-0.0370089933276176,0.105446398258209,0.0677480325102806,0.0943298637866974,0.072080060839653,0.103503599762917,0.0473672226071358,NA,0.455114375868112,0.761515305208934,7862.71487075422,3.77823660804191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1952,"Germany","TT","All persons","D1TTR5T2","Age(-20 & +65) Dependency Ratio (20-64)","VAR1","Baseline",1952,"PC","Percentage",0,"Units",NA,NA,67.93451,"","",0.59547022229082,"Germany","Euro",426961.71875,433856.8125,69.4488209455794,32.0242805480957,2376.86967206427,2.51234817504883,290504.34375,451569.40625,430784.6875,440106.40625,1824859.625,NA,NA,NA,593801.8125,423789.78125,595606.1875,2209629.75,NA,NA,NA,0.668120920658112,0.10803859680891,0.0337155126035213,2.14486070374006,0.10734286159277,0.0935869514942169,0.0916047170758247,"extrapolated","extrapolated","market","no","regular",NA,NA,0.514278769493103,0.365968436002731,0.14579875767231,0.0960232019424438,-0.0853221863508224,-0.036746971309185,0.109763488173485,0.0687761604785919,0.0988045185804367,0.0830579102039337,0.105823375284672,0.0487507358193398,NA,0.461120579328339,0.774380585404208,8550.2072521189,3.7211569643028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1953,"Germany","TT","All persons","D1TTR5T2","Age(-20 & +65) Dependency Ratio (20-64)","VAR1","Baseline",1953,"PC","Percentage",0,"Units",NA,NA,68.57086,"","",0.593222339851621,"Germany","Euro",466468.75,471208.96875,69.8468948682342,32.8358497619629,2351.5743896876,2.55614304542542,321050.875,485542.53125,470215.21875,478484.9375,1953948,NA,NA,NA,646696.625,467223.71875,645499.1875,2367170.5,NA,NA,NA,0.668120920658112,0.111939363181591,0.0339255891740322,2.14742575470433,0.104453690350056,0.0919842272996902,0.0903944447636604,"extrapolated","extrapolated","market","no","regular",NA,NA,0.529411435127258,0.343776047229767,0.14156237244606,0.102914407849312,-0.0870018899440765,-0.0306624379009008,0.107045598328114,0.0676466226577759,0.094760537147522,0.0822902172803879,0.0993503481149673,0.0475239977240562,NA,0.470111804166922,0.792471511245696,9258.77415481375,3.66040336146798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1954,"Germany","TT","All persons","D1TTR5T2","Age(-20 & +65) Dependency Ratio (20-64)","VAR1","Baseline",1954,"PC","Percentage",0,"Units",NA,NA,68.7981,"","",0.592423729887955,"Germany","Euro",505605.34375,512084.125,70.264068297279,33.835823059082,2326.54830646729,2.58732581138611,339641.71875,524997.6875,507555.65625,517413,2106541,0.171190023422241,0.488656371831894,0.495587766170502,696936.5,494707.15625,696378.4375,2552261.5,0.0957994014024734,0.382912874221802,0.411505490541458,0.668120920658112,0.110525488853455,0.0340668484568596,2.14742575470433,0.103954561054707,0.0914615616202354,0.0897191092371941,"extrapolated","extrapolated","market","no","regular",NA,NA,0.519895553588867,0.358235985040665,0.136527270078659,0.116595514118671,-0.100573360919952,-0.030680987983942,0.106414213776588,0.0685697048902512,0.0945882350206375,0.0817693322896957,0.0980820283293724,0.0476609617471695,0.635537385940552,0.481552290936623,0.812851117607492,9918.81792342772,3.66211484116559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1955,"Germany","TT","All persons","D1TTR5T2","Age(-20 & +65) Dependency Ratio (20-64)","VAR1","Baseline",1955,"PC","Percentage",0,"Units",NA,NA,68.49191,"","",0.593500305148182,"Germany","Euro",574378.1875,583498.625,70.6943098096432,34.9446830749512,2301.78855751398,2.61760544776917,367938.65625,602887.9375,573762.5,587047.9375,2319426.25,0.183078318834305,0.509096145629883,0.522535622119904,781282.3125,536995.625,791995.5625,2808869.5,0.105900816619396,0.406104445457458,0.442767858505249,0.668120920658112,0.113286040723324,0.0343836769461632,2.14742575470433,0.106537520885468,0.0924588218331337,0.0903663858771324,"extrapolated","extrapolated","market","no","regular",NA,NA,0.500106036663055,0.400221645832062,0.126654788851738,0.118250347673893,-0.107779696583748,-0.0374530889093876,0.108893543481827,0.0704110935330391,0.0972345769405365,0.0835811346769333,0.102859742939472,0.0483740903437138,0.60613477230072,0.494306870935523,0.832867088100497,11051.5586700505,3.59520426235171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1956,"Germany","TT","All persons","D1TTR5T2","Age(-20 & +65) Dependency Ratio (20-64)","VAR1","Baseline",1956,"PC","Percentage",0,"Units",NA,NA,68.07677,"","",0.594966216925754,"Germany","Euro",618803.8125,628759.4375,71.1396298796838,35.6618766784668,2277.29230842719,2.61976861953735,398805.875,644385.6875,619359.3125,633922.625,2532036.75,0.192612215876579,0.527417719364166,0.538042187690735,841620.0625,587265.9375,850376.625,3062833.5,0.115668371319771,0.421890467405319,0.458478033542633,0.668120920658112,0.109632752835751,0.0346903912723064,2.14742575470433,0.108834832906723,0.0946842655539513,0.0925090536475182,"extrapolated","extrapolated","market","no","regular",NA,NA,0.506474554538727,0.387397140264511,0.122633591294289,0.125045597553253,-0.109372265636921,-0.0321785472333431,0.111197777092457,0.0717046484351158,0.0990759208798409,0.0891554728150368,0.10889133065939,0.0500764474272728,0.625851213932037,0.50129409920716,0.842558930147989,11830.5375488094,3.63921160684071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1957,"Germany","TT","All persons","D1TTR5T2","Age(-20 & +65) Dependency Ratio (20-64)","VAR1","Baseline",1957,"PC","Percentage",0,"Units",NA,NA,68.11931,"","",0.594815669895386,"Germany","Euro",654651.3125,664634.875,71.6050546932927,36.3353118896484,2253.05675497092,2.6219334602356,425626.53125,678082.4375,656425.875,670382,2736036.75,0.201487332582474,0.533126771450043,0.542847573757172,892676.9375,627873.5,897185.625,3313108.5,0.125073835253716,0.433457583189011,0.468552440404892,0.668120920658112,0.104738414287567,0.0347416251897812,2.14742575470433,0.111155480146408,0.0973761528730392,0.0953489691019058,"extrapolated","extrapolated","market","no","regular",NA,NA,0.511268556118011,0.376585155725479,0.123632974922657,0.132290869951248,-0.115927465260029,-0.0278500560671091,0.113667771220207,0.0741449892520905,0.100766226649284,0.0953923091292381,0.113086000084877,0.0522045567631721,0.615079939365387,0.507440599623646,0.853105634747136,12466.6748922073,3.7114305980376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1958,"Germany","TT","All persons","D1TTR5T2","Age(-20 & +65) Dependency Ratio (20-64)","VAR1","Baseline",1958,"PC","Percentage",0,"Units",NA,NA,68.12013,"","",0.594812768702951,"Germany","Euro",683529,686900.875,72.0976209107191,36.6145210266113,2229.07912275259,2.62410020828247,447925.71875,704396.6875,686953,697063.9375,2934806.5,0.209380775690079,0.542906999588013,0.547245979309082,932478.5625,660182.375,932890.5625,3556767.75,0.134121477603912,0.443065911531448,0.476742416620255,0.668120920658112,0.100865863263607,0.0346509106457233,2.14742575470433,0.113758377730846,0.0999653935432434,0.0985153913497925,"extrapolated","extrapolated","market","no","regular",NA,NA,0.513234078884125,0.367930382490158,0.129355072975159,0.126494497060776,-0.110705778002739,-0.0263082012534142,0.116507574915886,0.0758760049939156,0.102850556373596,0.0999540165066719,0.113394811749458,0.0537502020597458,0.621639668941498,0.507846452686037,0.853792116456154,12933.5552369297,3.81431583849414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1959,"Germany","TT","All persons","D1TTR5T2","Age(-20 & +65) Dependency Ratio (20-64)","VAR1","Baseline",1959,"PC","Percentage",0,"Units",NA,NA,67.59096,"","",0.596690895499375,"Germany","Euro",741850.375,745110.625,72.6253704293902,36.9857902526855,2205.35666690544,2.6262686252594,472327.21875,768752.8125,744393.5,755895.875,3175652.75,0.219092756509781,0.560492157936096,0.568765103816986,1005796,700334.625,1011955.625,3847526.75,0.145096242427826,0.465522408485413,0.503750741481781,0.668120920658112,0.101068876683712,0.0345918051898479,2.14742575470433,0.116672173142433,0.101061895489693,0.099524050951004,"extrapolated","extrapolated","market","no","regular",NA,NA,0.494483917951584,0.392151355743408,0.130373597145081,0.131165236234665,-0.119004592299461,-0.0291695259511471,0.119929261505604,0.0761883333325386,0.104318618774414,0.0994347631931305,0.112567991018295,0.0543374270200729,0.589856386184692,0.509268180444531,0.853487432581521,13849.0997574723,3.82535499246368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
